Seed,ModelName,Dataset,Strategy,CopulaRuntime,CopulaMemoryUsed,IBSUncensTime,IBSIPCWTime,IBSIPCW_CoxPHTime,IBSIndepBGTime,IBSIndepBGUWTime,IBSDepBGTime,IBSDepBGUWTime
0,gbsa,support,top_10,0.0,0.0,0.1011297702789306,0.1031389236450195,0.126246690750122,0.1054916381835937,0.1069819927215576,0.1056015491485595,0.1063458919525146
0,rsf,support,top_10,0.0,0.0,0.1008024215698242,0.1056032180786132,0.1231632232666015,0.1051037311553955,0.1057360172271728,0.1039881706237793,0.1052978038787841
0,deepsurv,support,top_10,0.0,0.0,0.0998542308807373,0.102433443069458,0.1185996532440185,0.1047682762145996,0.1062190532684326,0.1056070327758789,0.1067767143249511
0,mtlr,support,top_10,0.0,0.0,0.1006793975830078,0.1028664112091064,0.1220102310180664,0.1053025722503662,0.1056249141693115,0.1046571731567382,0.1054224967956543
0,coxph,support,random_25,0.0,0.0,0.1026387214660644,0.1032567024230957,0.1269385814666748,0.1058864593505859,0.1068339347839355,0.1064205169677734,0.1072149276733398
0,gbsa,support,random_25,0.0,0.0,0.1022608280181884,0.1039867401123046,0.125868558883667,0.105846881866455,0.1072025299072265,0.1056983470916748,0.1062839031219482
0,rsf,support,random_25,0.0,0.0,0.1025593280792236,0.104006290435791,0.1237757205963134,0.1067903041839599,0.1072611808776855,0.1054036617279052,0.106025218963623
0,deepsurv,support,random_25,0.0,0.0,0.1013586521148681,0.1024012565612793,0.1184990406036377,0.105276346206665,0.1060192584991455,0.1051869392395019,0.1063380241394043
0,mtlr,support,random_25,0.0,0.0,0.1012227535247802,0.1027233600616455,0.1234717369079589,0.1065189838409423,0.1073830127716064,0.1061227321624755,0.1070356369018554
0,coxph,flchain,original,0.0,0.0,0.0860617160797119,0.0877313613891601,0.1077408790588378,0.0903844833374023,0.0909452438354492,0.0900032520294189,0.0910341739654541
0,gbsa,flchain,original,0.0,0.0,0.0863921642303466,0.088611364364624,0.1089050769805908,0.0912067890167236,0.0918881893157959,0.091343879699707,0.0924012660980224
0,rsf,flchain,original,0.0,0.0,0.0867125988006591,0.0883727073669433,0.1091458797454834,0.0909316539764404,0.0917940139770507,0.0907692909240722,0.0917484760284423
0,deepsurv,flchain,original,0.0,0.0,0.0857362747192382,0.0874896049499511,0.1047780513763427,0.091240644454956,0.0916292667388916,0.0904126167297363,0.091832160949707
0,mtlr,flchain,original,0.0,0.0,0.0859909057617187,0.0876851081848144,0.1091384887695312,0.0903053283691406,0.0913336277008056,0.0904102325439453,0.091484785079956
0,coxph,flchain,top_5,0.0,0.0,0.0870618820190429,0.0881199836730957,0.1122410297393798,0.0905351638793945,0.0911648273468017,0.0903291702270507,0.0914359092712402
0,gbsa,flchain,top_5,0.0,0.0,0.0872673988342285,0.088961124420166,0.1122999191284179,0.0909130573272705,0.0917811393737793,0.0900444984436035,0.0912158489227294
0,rsf,flchain,top_5,0.0,0.0,0.0870587825775146,0.0888230800628662,0.1092195510864257,0.0911111831665039,0.0916602611541748,0.0906283855438232,0.0920612812042236
0,deepsurv,flchain,top_5,0.0,0.0,0.0860412120819091,0.0874428749084472,0.1051650047302246,0.0901458263397216,0.0918323993682861,0.0901343822479248,0.0912568569183349
0,mtlr,flchain,top_5,0.0,0.0,0.0859973430633544,0.0876750946044921,0.1106481552124023,0.0910174846649169,0.0917792320251464,0.0902013778686523,0.0915448665618896
0,coxph,flchain,top_10,0.0,0.0,0.0885431766510009,0.0897867679595947,0.1151285171508789,0.0926504135131836,0.0936095714569091,0.0921761989593505,0.0928585529327392
0,gbsa,flchain,top_10,0.0,0.0,0.089360237121582,0.0906381607055664,0.1129004955291748,0.0924675464630127,0.0934157371520996,0.092198371887207,0.0929427146911621
0,rsf,flchain,top_10,0.0,0.0,0.0875983238220214,0.0894346237182617,0.1108796596527099,0.0927364826202392,0.0928876399993896,0.0924792289733886,0.0929746627807617
