Seed,ModelName,Dataset,Strategy,BestCopulaName,BestCopulaTheta,IBSTrue,IBSUncensored,IBSIPCW,IBSIPCW_CoxPH,IBSIndepBG,IBSIndepBGUW,IBSDepBG,IBSDepBGUW
4,deepsurv,seer_stomach,top_10,clayton,0.8410174659679418,0.0537843150232456,0.0848471483371956,0.1586258607416449,0.1489596565111707,0.1797050660918326,0.1567197328374474,0.1691858801718993,0.1532387205980472
4,mtlr,seer_stomach,top_10,clayton,0.8410174659679418,0.0685306772127865,0.0727030191748513,0.1550414394968259,0.1439454376440185,0.1743480097216191,0.1483867096277173,0.1547007349763532,0.1389931481693532
4,coxph,seer_stomach,random_25,clayton,0.9781818258145396,0.0415781903156273,0.0947158655297859,0.1888810102455872,0.192784357507529,0.1915491928298127,0.1696094443822275,0.1741220948250917,0.1625328208379119
4,gbsa,seer_stomach,random_25,clayton,0.9781818258145396,0.0394828019970241,0.0908276353121423,0.186894524783113,0.18870822132218,0.1842541189421079,0.1621470116180529,0.1699288904824138,0.157297026068371
4,rsf,seer_stomach,random_25,clayton,0.9781818258145396,0.0410367140977558,0.0929669873853337,0.1921430699254681,0.192997310477542,0.1867417845813791,0.1651637656362509,0.171176168223578,0.1594055562248547
4,deepsurv,seer_stomach,random_25,clayton,0.9781818258145396,0.0398018978278479,0.0915260311508821,0.1878231126064537,0.1905897705043997,0.1852124387527823,0.1633650700927562,0.170320732812619,0.1581419172693826
4,mtlr,seer_stomach,random_25,clayton,0.9781818258145396,0.0427638155667844,0.0859643409762466,0.1903675162849313,0.1930648616177833,0.1890712396391008,0.1636998732447226,0.16569006150801,0.1530330994761007
5,coxph,metabric,original,clayton,0.001,0.1206182888207182,0.1035331094400841,0.1707459564149294,0.1501699162203702,0.1461399825537348,0.1497089760613653,0.1461399825537348,0.1497099254665684
5,gbsa,metabric,original,clayton,0.001,0.1251541971536812,0.1057493019907924,0.1812830820743266,0.1565455929188993,0.1490309828801499,0.1527596523814726,0.1490309828801499,0.1527609437653923
5,rsf,metabric,original,clayton,0.001,0.1286029032147879,0.1088812907834751,0.1796144037085671,0.1584166451652266,0.151580757668462,0.1560627020017514,0.151580757668462,0.156063993446668
5,deepsurv,metabric,original,clayton,0.001,0.1205393321081389,0.1027152729531439,0.1709322101216425,0.1501624749700698,0.1456317624479952,0.148646675422836,0.1456317624479952,0.1486476888254855
5,mtlr,metabric,original,clayton,0.001,0.1238768314545238,0.1025229271153287,0.1715693556914561,0.1495141753508071,0.1459627708967291,0.1490076190075482,0.1459627708967291,0.1490090477369152
5,coxph,metabric,top_5,frank,0.0903823720504233,0.1205551550588274,0.1036693701893781,0.1711612942696534,0.1695768254947038,0.1463678470566771,0.1498617612086488,0.1463678470566771,0.1498698677767809
5,gbsa,metabric,top_5,frank,0.0903823720504233,0.1257148663115715,0.1079049996562789,0.1840473658590665,0.1820230571940407,0.1528290740866774,0.1556857890636556,0.1528290740866774,0.1556993524259293
5,rsf,metabric,top_5,frank,0.0903823720504233,0.1288259480480113,0.10989268608254,0.1813296261140413,0.1794094001045827,0.1525559995176034,0.1572896763980662,0.1525559995176034,0.1573003589463011
5,deepsurv,metabric,top_5,frank,0.0903823720504233,0.1206897546447882,0.1033060014959372,0.1716301997711134,0.1698775195549237,0.1463545138940252,0.1494469235723868,0.1463545138940252,0.1494566942595425
5,mtlr,metabric,top_5,frank,0.0903823720504233,0.1227011890428834,0.1016376932265623,0.172565456553001,0.170303106209003,0.1455907261844031,0.1478300926371049,0.1455907261844031,0.1478454902175278
5,coxph,metabric,top_10,frank,0.0908245697487579,0.1206182888207182,0.1035331094400841,0.1707459564149294,0.1501699162203702,0.1461399825537348,0.1497089760613653,0.1461399825537348,0.1497170908929898
5,gbsa,metabric,top_10,frank,0.0908245697487579,0.1253632490066017,0.1063776877009858,0.1810356712450947,0.1569016393947225,0.150913716437323,0.153832838525556,0.150913716437323,0.1538470048717033
5,rsf,metabric,top_10,frank,0.0908245697487579,0.1286847571416699,0.1090924133307754,0.178666324639365,0.1579355415800915,0.1519426100021277,0.1564362921065014,0.1519426100021277,0.1564468191055489
5,deepsurv,metabric,top_10,frank,0.0908245697487579,0.120406220157042,0.1025934425444549,0.1709100010556773,0.1501854091733563,0.1455047645169433,0.1484955725835336,0.1455047645169433,0.1485048531019538
5,mtlr,metabric,top_10,frank,0.0908245697487579,0.1243284063989253,0.1027841726602019,0.1734235940342134,0.1508117022006399,0.1462566701238383,0.1492889022808164,0.1462566701238383,0.1493033408944143
5,coxph,metabric,random_25,frank,0.2473661611418671,0.1490381399653706,0.116394694390564,0.194982643217434,0.1858681255495619,0.1717232293353614,0.1717143752832579,0.1711758397264555,0.1714579692479302
5,gbsa,metabric,random_25,frank,0.2473661611418671,0.1510122695186808,0.1163130699188622,0.1962380609708005,0.1871876566637461,0.1731764391721172,0.1722090807934575,0.1726913693547089,0.1719969684204339
5,rsf,metabric,random_25,frank,0.2473661611418671,0.1505101022889472,0.1181283136221699,0.195819255404782,0.1870176517393125,0.1738898509822017,0.1738775106050916,0.1733786642846768,0.1736377552863328
