BestCopulaTheta,Strategy,BestCopulaName,Seed,Dataset
0.8352353962130225,top_10,clayton,6,seer_stomach
0.945090329618893,random_25,clayton,6,seer_stomach
0.001,original,clayton,7,metabric
0.001,top_5,clayton,7,metabric
0.150536994054351,top_10,frank,7,metabric
0.2129264150483293,random_25,frank,7,metabric
1.214676613997547,original,clayton,7,gbsg
0.454102865526126,top_5,frank,7,gbsg
1.2074121450768522,top_10,clayton,7,gbsg
0.4331775779914096,random_25,frank,7,gbsg
0.3471920207263437,original,frank,7,nacd
0.3985371985794451,top_5,frank,7,nacd
0.384047907969364,top_10,frank,7,nacd
0.4081215755839054,random_25,frank,7,nacd
0.2888659940418926,original,clayton,7,support
0.3064616142546792,top_5,clayton,7,support
0.3012937537007343,top_10,clayton,7,support
0.3799422209291463,random_25,clayton,7,support
0.001,original,frank,7,flchain
0.001,top_5,clayton,7,flchain
0.001,top_10,frank,7,flchain
0.001,random_25,clayton,7,flchain
0.001,original,frank,7,whas
0.001,top_5,frank,7,whas
0.001,top_10,frank,7,whas
0.001,random_25,frank,7,whas
0.4222729704026584,original,clayton,7,employee
0.4337351444825115,top_5,clayton,7,employee
0.4312996138453416,top_10,clayton,7,employee
0.4994170052638994,random_25,clayton,7,employee
0.4272633533266493,original,clayton,7,churn
0.4193404739050037,top_5,clayton,7,churn
0.4029187383682777,top_10,clayton,7,churn
0.5760383947636513,random_25,clayton,7,churn
0.5276071996076799,original,clayton,7,mimic_all
0.6888874355763709,top_5,clayton,7,mimic_all
0.637023083311162,top_10,clayton,7,mimic_all
0.5790313106592293,random_25,clayton,7,mimic_all
0.6893060330417742,original,clayton,7,seer_brain
0.6669578071651766,top_5,clayton,7,seer_brain
0.6926031133611219,top_10,clayton,7,seer_brain
1.2259086846684957,random_25,clayton,7,seer_brain
0.4475107300934911,original,clayton,7,seer_liver
0.4327249095673794,top_5,clayton,7,seer_liver
0.437138733449895,top_10,clayton,7,seer_liver
0.6247194027642355,random_25,clayton,7,seer_liver
0.7823680314774486,original,clayton,7,seer_stomach
0.6950958318940723,top_5,clayton,7,seer_stomach
0.810004501393304,top_10,clayton,7,seer_stomach
0.9414318465273354,random_25,clayton,7,seer_stomach
0.1172852238506283,original,frank,8,metabric
0.1226053315112487,top_5,frank,8,metabric
0.1172867513399046,top_10,frank,8,metabric
0.2409076252853599,random_25,frank,8,metabric
1.1147094347653228,original,clayton,8,gbsg
1.1283292012152943,top_5,clayton,8,gbsg
1.117954771639004,top_10,clayton,8,gbsg
1.2222434870664651,random_25,clayton,8,gbsg
0.3116073221144534,original,frank,8,nacd
0.3559340869597002,top_5,frank,8,nacd
0.3583961360900696,top_10,frank,8,nacd
0.3464073940338904,random_25,frank,8,nacd
0.314985079979529,original,clayton,8,support
0.3261792877647205,top_5,clayton,8,support
0.3179376810393141,top_10,clayton,8,support
0.3787971582731161,random_25,clayton,8,support
0.001,original,frank,8,flchain
0.001,top_5,frank,8,flchain
0.001,top_10,frank,8,flchain
0.1281990898495326,random_25,frank,8,flchain
0.001,original,clayton,8,whas
0.0264849351636377,top_5,frank,8,whas
0.0624219146879798,top_10,frank,8,whas
0.2204339637246044,random_25,frank,8,whas
0.4265153620767681,original,clayton,8,employee
0.4384313955599209,top_5,clayton,8,employee
0.4407080726943136,top_10,clayton,8,employee
0.479143021001865,random_25,clayton,8,employee
0.6007328343223853,original,clayton,8,churn
0.4996894892630131,top_5,clayton,8,churn
0.633335308544959,top_10,clayton,8,churn
0.5216592364219361,random_25,clayton,8,churn
0.5557232172703654,original,clayton,8,mimic_all
0.5979925118362173,top_5,clayton,8,mimic_all
0.570541269033075,top_10,clayton,8,mimic_all
0.5635754833465212,random_25,clayton,8,mimic_all
0.6151260351334065,original,clayton,8,seer_brain
0.6095686838575272,top_5,clayton,8,seer_brain
0.6318086933316291,top_10,clayton,8,seer_brain
0.9324032741036532,random_25,clayton,8,seer_brain
0.4859320708334868,original,clayton,8,seer_liver
0.3803078829690989,top_5,clayton,8,seer_liver
0.4742056621478086,top_10,clayton,8,seer_liver
0.8113732956436078,random_25,clayton,8,seer_liver
0.7939655407743116,original,clayton,8,seer_stomach
0.6904420794374715,top_5,clayton,8,seer_stomach
0.8132606175999284,top_10,clayton,8,seer_stomach
0.9017111802723788,random_25,clayton,8,seer_stomach
0.001,original,clayton,9,metabric
0.001,top_5,clayton,9,metabric
0.001,top_10,clayton,9,metabric
0.2401744796426644,random_25,frank,9,metabric
1.130975116552202,original,clayton,9,gbsg
1.1004015710370991,top_5,clayton,9,gbsg
1.1370430336261088,top_10,clayton,9,gbsg
1.2007002510765747,random_25,clayton,9,gbsg
0.3106918927851297,original,frank,9,nacd
0.309715848041598,top_5,frank,9,nacd
0.2993775054608882,top_10,frank,9,nacd
0.3710600053469151,random_25,frank,9,nacd
0.2881935602600735,original,clayton,9,support
0.2949524292741786,top_5,clayton,9,support
0.2928580293511544,top_10,clayton,9,support
0.3821043066389062,random_25,clayton,9,support
0.001,original,frank,9,flchain
0.001,top_5,frank,9,flchain
0.001,top_10,frank,9,flchain
0.001,random_25,clayton,9,flchain
0.0489648569416172,original,frank,9,whas
0.0144037690164301,top_5,frank,9,whas
0.022060039920407,top_10,frank,9,whas
0.001,random_25,clayton,9,whas
0.423198515876366,original,clayton,9,employee
0.4343092875113278,top_5,clayton,9,employee
0.4290541477642356,top_10,clayton,9,employee
0.4480901334727805,random_25,clayton,9,employee
0.5099273690874715,original,clayton,9,churn
0.475979601726393,top_5,clayton,9,churn
